State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Eric Hass Socialist Labor_Votes,Eric Hass Socialist Labor_Pct,Orval Faubus National States' Rights_Votes,Orval Faubus National States' Rights_Pct,Farrell Dobbs Socialist Workers_Votes,Farrell Dobbs Socialist Workers_Pct,All Others Various_Votes,All Others Various_Pct,Others_Votes,Others_Pct,Farrell Dobbs No Party Listed_Votes,Farrell Dobbs No Party Listed_Pct,Rutherford Decker Prohibition_Votes,Rutherford Decker Prohibition_Pct,Unpledged electors States’ Rights_Votes,Unpledged electors States’ Rights_Pct,Various Candidates Write-ins_Votes,Various Candidates Write-ins_Pct,Lars Daly Independent_Votes,Lars Daly Independent_Pct,Eric Hass Industrial Government_Votes,Eric Hass Industrial Government_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Orval Faubus National States’ Rights_Votes,Orval Faubus National States’ Rights_Pct,C. Benton Coiner Virginia Conservative_Votes,C. Benton Coiner Virginia Conservative_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,1324,52.17,1149,45.27,65,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538,Democrat,52.17
Alabama,Baldwin__AL,5647,53.09,4812,45.24,177,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10636,Democrat,53.09
Alabama,Barbour__AL,2148,64.47,1166,34.99,18,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,Democrat,64.47
Alabama,Bibb__AL,1697,61.66,1052,38.23,3,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,Democrat,61.66
Alabama,Blount__AL,3404,56.98,2557,42.8,13,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5974,Democrat,56.98
Alabama,Bullock__AL,757,64.48,412,35.09,5,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174,Democrat,64.48
Alabama,Butler__AL,2873,69.69,1231,29.87,18,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4122,Democrat,69.69
Alabama,Calhoun__AL,9590,65.97,4821,33.17,125,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14536,Democrat,65.97
Alabama,Chambers__AL,5165,72.74,1865,26.26,71,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7101,Democrat,72.74
Alabama,Cherokee__AL,3097,77.95,872,21.95,4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,Democrat,77.95
Alabama,Chilton__AL,1798,35.91,3201,63.93,8,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5007,Republican,63.93
Alabama,Choctaw__AL,1094,60.85,612,34.04,92,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,Democrat,60.85
Alabama,Clarke__AL,1878,47.34,2016,50.82,73,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967,Republican,50.82
Alabama,Clay__AL,1743,52.71,1548,46.81,16,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307,Democrat,52.71
Alabama,Cleburne__AL,1510,59.87,1008,39.97,4,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522,Democrat,59.87
Alabama,Coffee__AL,4470,76.19,1381,23.54,16,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867,Democrat,76.19
Alabama,Colbert__AL,7550,71.85,2815,26.79,143,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10508,Democrat,71.85
Alabama,Conecuh__AL,1815,72.17,650,25.84,50,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2515,Democrat,72.17
Alabama,Coosa__AL,1493,57.98,1073,41.67,9,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575,Democrat,57.98
Alabama,Covington__AL,5744,73.42,2047,26.16,33,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7824,Democrat,73.42
Alabama,Crenshaw__AL,2923,83.49,573,16.37,5,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501,Democrat,83.49
Alabama,Cullman__AL,6346,59.87,4248,40.08,5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10599,Democrat,59.87
Alabama,Dale__AL,2563,60.76,1634,38.74,21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,Democrat,60.76
Alabama,Dallas__AL,2103,41.69,2872,56.94,69,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5044,Republican,56.94
Alabama,DeKalb__AL,5844,51.08,5585,48.82,12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11441,Democrat,51.08
Alabama,Elmore__AL,3440,63.6,1919,35.48,50,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5409,Democrat,63.6
Alabama,Escambia__AL,3990,67.57,1810,30.65,105,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905,Democrat,67.57
Alabama,Etowah__AL,14372,66.28,7128,32.87,185,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21685,Democrat,66.28
Alabama,Fayette__AL,2274,54.08,1923,45.73,8,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4205,Democrat,54.08
Alabama,Franklin__AL,3422,45.58,4069,54.2,16,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7507,Republican,54.2
Alabama,Geneva__AL,3050,66.9,1502,32.95,7,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4559,Democrat,66.9
Alabama,Greene__AL,723,64.38,381,33.93,19,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,Democrat,64.38
Alabama,Hale__AL,1309,63.54,741,35.97,10,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060,Democrat,63.54
Alabama,Henry__AL,2115,77.93,588,21.67,11,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714,Democrat,77.93
Alabama,Houston__AL,3897,48.61,4055,50.58,65,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8017,Republican,50.58
Alabama,Jackson__AL,4789,69.93,2036,29.73,23,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6848,Democrat,69.93
Alabama,Jefferson__AL,44369,41.9,60004,56.66,1525,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105898,Republican,56.66
Alabama,Lamar__AL,2386,70.36,964,28.43,41,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3391,Democrat,70.36
Alabama,Lauderdale__AL,8565,70.1,3570,29.22,84,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12219,Democrat,70.1
Alabama,Lawrence__AL,2929,68.1,1365,31.74,7,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301,Democrat,68.1
Alabama,Lee__AL,3759,61.63,2301,37.73,39,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6099,Democrat,61.63
Alabama,Limestone__AL,4147,80.59,991,19.26,8,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5146,Democrat,80.59
Alabama,Lowndes__AL,796,64.19,432,34.84,12,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,Democrat,64.19
Alabama,Macon__AL,1327,59.53,877,39.34,25,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2229,Democrat,59.53
Alabama,Madison__AL,10959,66.88,5299,32.34,128,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16386,Democrat,66.88
Alabama,Marengo__AL,1436,51.45,1235,44.25,120,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,Democrat,51.45
Alabama,Marion__AL,3099,51.19,2938,48.53,17,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6054,Democrat,51.19
Alabama,Marshall__AL,6595,65.94,3398,33.98,8,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10001,Democrat,65.94
Alabama,Mobile__AL,28626,52.48,24608,45.12,1308,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54542,Democrat,52.48
Alabama,Monroe__AL,2130,67.55,989,31.37,34,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3153,Democrat,67.55
Alabama,Montgomery__AL,9421,43.92,11778,54.91,249,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21448,Republican,54.91
Alabama,Morgan__AL,7822,64.11,4357,35.71,21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12200,Democrat,64.11
Alabama,Perry__AL,973,54.3,744,41.52,75,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792,Democrat,54.3
Alabama,Pickens__AL,1836,58.17,1277,40.46,43,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3156,Democrat,58.17
Alabama,Pike__AL,3421,76.91,1006,22.62,21,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4448,Democrat,76.91
Alabama,Randolph__AL,3175,64.73,1697,34.6,33,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4905,Democrat,64.73
Alabama,Russell__AL,3480,65.69,1770,33.41,48,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298,Democrat,65.69
Alabama,Shelby__AL,3225,50.17,3157,49.11,46,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6428,Democrat,50.17
Alabama,St__Clair__AL,3039,53.88,2589,45.9,12,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5640,Democrat,53.88
Alabama,Sumter__AL,765,52.33,623,42.61,74,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462,Democrat,52.33
Alabama,Talladega__AL,5729,54.41,4723,44.86,77,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10529,Democrat,54.41
Alabama,Tallapoosa__AL,5460,71.39,2150,28.11,38,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648,Democrat,71.39
Alabama,Tuscaloosa__AL,8254,58.99,5598,40.01,140,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13992,Democrat,58.99
Alabama,Walker__AL,8109,59.75,5463,40.25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13572,Democrat,59.75
Alabama,Washington__AL,1929,69.49,792,28.53,55,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776,Democrat,69.49
Alabama,Wilcox__AL,905,63.51,513,36.0,7,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,Democrat,63.51
Alabama,Winston__AL,1681,32.93,3421,67.01,3,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5105,Republican,67.01
Arizona,Apache__AZ,1459,48.15,1568,51.75,0,0.0,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,Republican,51.75
Arizona,Cochise__AZ,7419,49.44,7572,50.46,0,0.0,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,15007,Republican,50.46
Arizona,Coconino__AZ,4065,45.45,4870,54.45,0,0.0,9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,8944,Republican,54.45
Arizona,Gila__AZ,5251,57.93,3806,41.99,0,0.0,8,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,9065,Democrat,57.93
Arizona,Graham__AZ,2091,45.63,2491,54.35,0,0.0,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,4583,Republican,54.35
