State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Linda Jenness Socialist Workers_Votes,Linda Jenness Socialist Workers_Pct,John G. Schmitz American Independent_Votes,John G. Schmitz American Independent_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Louis Fisher Socialist Labor_Votes,Louis Fisher Socialist Labor_Pct,Evelyn Reed Socialist Workers_Votes,Evelyn Reed Socialist Workers_Pct,Benjamin Spock Peace and Freedom_Votes,Benjamin Spock Peace and Freedom_Pct,John G. Schmitz Conservative_Votes,John G. Schmitz Conservative_Pct,E. Harold Munn Prohibition_Votes,E. Harold Munn Prohibition_Pct,John G. Schmitz American_Votes,John G. Schmitz American_Pct,Gus Hall Communist_Votes,Gus Hall Communist_Pct,John G. Schmitz Independent_Votes,John G. Schmitz Independent_Pct,Linda Jenness Independent_Votes,Linda Jenness Independent_Pct,John G. Schmitz [ 2 ] American Independent_Votes,John G. Schmitz [ 2 ] American Independent_Pct,Various candidates [ 2 ] Other parties_Votes,Various candidates [ 2 ] Other parties_Pct,John G. Schmitz [ 5 ] American_Votes,John G. Schmitz [ 5 ] American_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Evelyn Reed [ 6 ] Socialist Workers_Votes,Evelyn Reed [ 6 ] Socialist Workers_Pct,Gus Hall [ 6 ] Communist_Votes,Gus Hall [ 6 ] Communist_Pct,Louis Fisher [ 6 ] Socialist Labor_Votes,Louis Fisher [ 6 ] Socialist Labor_Pct,Gus Hall Independent_Votes,Gus Hall Independent_Pct,John G. Schmitz [ 3 ] American Independent_Votes,John G. Schmitz [ 3 ] American Independent_Pct,Louis Fisher [ 3 ] Socialist Labor_Votes,Louis Fisher [ 3 ] Socialist Labor_Pct,Gus Hall [ 3 ] Not designated_Votes,Gus Hall [ 3 ] Not designated_Pct,John G. Schmitz [ 3 ] Independent_Votes,John G. Schmitz [ 3 ] Independent_Pct,Various candidates [ 3 ] Write-ins_Votes,Various candidates [ 3 ] Write-ins_Pct,John G. Schmitz [ 3 ] Constitutional_Votes,John G. Schmitz [ 3 ] Constitutional_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,John G. Schmitz [ 10 ] American_Votes,John G. Schmitz [ 10 ] American_Pct,Various candidates [ 10 ] Write-ins_Votes,Various candidates [ 10 ] Write-ins_Pct,Benjamin Spock [ 2 ] Liberty Union_Votes,Benjamin Spock [ 2 ] Liberty Union_Pct,Linda Jenness [ 2 ] Socialist Workers_Votes,Linda Jenness [ 2 ] Socialist Workers_Pct,Benjamin Spock People's_Votes,Benjamin Spock People's_Pct,All Others Various_Votes,All Others Various_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,1593,22.31,5367,75.17,180,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140,Republican,75.17
Alabama,Baldwin__AL,2923,15.91,15104,82.2,348,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18375,Republican,82.2
Alabama,Barbour__AL,1846,26.26,4985,70.92,198,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7029,Republican,70.92
Alabama,Bibb__AL,837,19.7,3332,78.44,79,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248,Republican,78.44
Alabama,Blount__AL,1582,19.36,6486,79.36,105,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8173,Republican,79.36
Alabama,Bullock__AL,2321,50.56,2178,47.44,92,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4591,Democrat,50.56
Alabama,Butler__AL,1401,22.86,4685,76.45,42,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128,Republican,76.45
Alabama,Calhoun__AL,5832,22.03,20364,76.93,275,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26471,Republican,76.93
Alabama,Chambers__AL,2076,18.87,8716,79.21,211,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,Republican,79.21
Alabama,Cherokee__AL,1182,26.73,3179,71.89,61,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,Republican,71.89
Alabama,Chilton__AL,1356,15.29,7349,82.88,162,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8867,Republican,82.88
Alabama,Choctaw__AL,1934,38.45,3055,60.74,41,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030,Republican,60.74
Alabama,Clarke__AL,2031,27.39,5256,70.89,127,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7414,Republican,70.89
Alabama,Clay__AL,507,11.33,3948,88.24,19,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474,Republican,88.24
Alabama,Cleburne__AL,581,14.47,3420,85.2,13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014,Republican,85.2
Alabama,Coffee__AL,2160,19.05,9076,80.06,100,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11336,Republican,80.06
Alabama,Colbert__AL,4811,29.04,11215,67.71,538,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16564,Republican,67.71
Alabama,Conecuh__AL,1042,24.26,3214,74.81,40,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296,Republican,74.81
Alabama,Coosa__AL,773,22.33,2672,77.2,16,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3461,Republican,77.2
