State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,John B. Anderson Independent_Votes,John B. Anderson Independent_Pct,John Rarick [ 6 ] Alabama Conservative_Votes,John Rarick [ 6 ] Alabama Conservative_Pct,Ed Clark [ 6 ] Libertarian_Votes,Ed Clark [ 6 ] Libertarian_Pct,Various candidates [ 6 ] Other parties_Votes,Various candidates [ 6 ] Other parties_Pct,Ed Clark Libertarian_Votes,Ed Clark Libertarian_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,John B. Anderson Anderson Coalition_Votes,John B. Anderson Anderson Coalition_Pct,All Others Various_Votes,All Others Various_Pct,Other Candidates_Votes,Other Candidates_Pct,John Rarick American_Votes,John Rarick American_Pct,Others_Votes,Others_Pct,Barry Commoner Citizens_Votes,Barry Commoner Citizens_Pct,Ed Clark Independent_Votes,Ed Clark Independent_Pct,John Rarick American Independent_Votes,John Rarick American Independent_Pct,Deidre Griswold Independent_Votes,Deidre Griswold Independent_Pct,Andrew Pulley Independent_Votes,Andrew Pulley Independent_Pct,Edward E. Clark Libertarian_Votes,Edward E. Clark Libertarian_Pct,None of These Candidates_Votes,None of These Candidates_Pct,John B. Anderson [ 3 ] Independent_Votes,John B. Anderson [ 3 ] Independent_Pct,Ed Clark [ 3 ] Libertarian_Votes,Ed Clark [ 3 ] Libertarian_Pct,Barry Commoner [ 3 ] Citizens_Votes,Barry Commoner [ 3 ] Citizens_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,John B. Anderson Anderson Alternative_Votes,John B. Anderson Anderson Alternative_Pct,John B. Anderson Liberal_Votes,John B. Anderson Liberal_Pct,Ed Clark [ 3 ] Free Libertarian_Votes,Ed Clark [ 3 ] Free Libertarian_Pct,Ellen McCormack [ 3 ] Right to Life_Votes,Ellen McCormack [ 3 ] Right to Life_Pct,John B. Anderson Not designated_Votes,John B. Anderson Not designated_Pct,Edward E. Clark Not designated_Votes,Edward E. Clark Not designated_Pct,Barry Commoner [ 12 ] Independent_Votes,Barry Commoner [ 12 ] Independent_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Barry Commoner Independent_Votes,Barry Commoner Independent_Pct,Clifton DeBerry Independent_Votes,Clifton DeBerry Independent_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,4295,38.82,6292,56.87,125,1.13,216,1.95,119,1.08,16,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11063,Republican,56.87
Alabama,Baldwin__AL,8448,29.8,18652,65.78,414,1.46,272,0.96,465,1.64,102,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28353,Republican,65.78
Alabama,Barbour__AL,4458,49.53,4171,46.34,65,0.72,202,2.24,80,0.89,25,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9001,Democrat,49.53
Alabama,Bibb__AL,3097,55.08,2491,44.3,22,0.39,5,0.09,8,0.14,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5623,Democrat,55.08
Alabama,Blount__AL,5656,44.45,6819,53.59,75,0.59,37,0.29,92,0.72,45,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12724,Republican,53.59
Alabama,Bullock__AL,3960,70.25,1446,25.65,29,0.51,158,2.8,33,0.59,11,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637,Democrat,70.25
Alabama,Butler__AL,4156,49.67,3810,45.53,59,0.71,205,2.45,107,1.28,31,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8368,Democrat,49.67
Alabama,Calhoun__AL,17017,47.88,17475,49.17,433,1.22,90,0.25,286,0.8,240,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35541,Republican,49.17
Alabama,Chambers__AL,6649,55.88,4864,40.88,122,1.03,145,1.22,96,0.81,23,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11899,Democrat,55.88
Alabama,Cherokee__AL,3764,58.47,2482,38.55,63,0.98,51,0.79,70,1.09,8,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6438,Democrat,58.47
Alabama,Chilton__AL,4706,41.0,6615,57.64,60,0.52,17,0.15,46,0.4,33,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11477,Republican,57.64
Alabama,Choctaw__AL,3680,55.93,2859,43.45,22,0.33,5,0.08,14,0.21,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6580,Democrat,55.93
Alabama,Clarke__AL,5249,49.23,5059,47.44,55,0.52,197,1.85,84,0.79,19,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10663,Democrat,49.23
Alabama,Clay__AL,2858,49.73,2764,48.09,34,0.59,34,0.59,41,0.71,16,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5747,Democrat,49.73
Alabama,Cleburne__AL,2050,45.29,2389,52.78,34,0.75,21,0.46,27,0.6,5,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4526,Republican,52.78
Alabama,Coffee__AL,6140,45.82,6760,50.45,189,1.41,153,1.14,137,1.02,20,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13399,Republican,50.45
Alabama,Colbert__AL,12550,62.71,6619,33.07,209,1.04,315,1.57,226,1.13,94,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20013,Democrat,62.71
Alabama,Conecuh__AL,3102,50.19,2948,47.69,29,0.47,48,0.78,36,0.58,18,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6181,Democrat,50.19
Alabama,Coosa__AL,2383,56.62,1714,40.72,19,0.45,55,1.31,25,0.59,13,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209,Democrat,56.62
Alabama,Covington__AL,6305,46.33,7014,51.54,110,0.81,55,0.4,70,0.51,54,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13608,Republican,51.54
Alabama,Crenshaw__AL,2704,51.45,2478,47.15,39,0.74,11,0.21,14,0.27,10,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,Democrat,51.45
Alabama,Cullman__AL,11525,51.82,10212,45.92,228,1.03,81,0.36,124,0.56,70,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22240,Democrat,51.82
Alabama,Dale__AL,4936,39.26,7247,57.64,134,1.07,112,0.89,130,1.03,14,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12573,Republican,57.64
Alabama,Dallas__AL,9770,53.84,7647,42.14,131,0.72,412,2.27,164,0.9,23,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18147,Democrat,53.84
Alabama,DeKalb__AL,8820,47.19,9673,51.75,107,0.57,8,0.04,51,0.27,31,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18690,Republican,51.75
Alabama,Elmore__AL,5947,39.15,8688,57.2,171,1.13,219,1.44,140,0.92,25,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15190,Republican,57.2
Alabama,Escambia__AL,5148,42.71,6513,54.04,87,0.72,91,0.75,136,1.13,78,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12053,Republican,54.04
Alabama,Etowah__AL,20790,54.99,16177,42.79,358,0.95,147,0.39,234,0.62,100,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37806,Democrat,54.99
Alabama,Fayette__AL,3389,49.92,3315,48.83,47,0.69,4,0.06,23,0.34,11,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6789,Democrat,49.92
Alabama,Franklin__AL,6136,57.01,4448,41.33,51,0.47,30,0.28,66,0.61,32,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10763,Democrat,57.01
Alabama,Geneva__AL,4703,48.85,4747,49.3,67,0.7,45,0.47,45,0.47,21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9628,Republican,49.3
Alabama,Greene__AL,3474,76.55,1034,22.79,16,0.35,6,0.13,7,0.15,1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4538,Democrat,76.55
Alabama,Hale__AL,3583,59.93,2074,34.69,56,0.94,224,3.75,35,0.59,7,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5979,Democrat,59.93
Alabama,Henry__AL,2973,50.57,2813,47.85,18,0.31,29,0.49,26,0.44,20,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5879,Democrat,50.57
Alabama,Houston__AL,7848,33.77,14884,64.05,184,0.79,104,0.45,132,0.57,86,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23238,Republican,64.05
