State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,David Bergland [ 7 ] Libertarian_Votes,David Bergland [ 7 ] Libertarian_Pct,Gus Hall [ 7 ] Independent_Votes,Gus Hall [ 7 ] Independent_Pct,Various candidates [ 7 ] Other parties_Votes,Various candidates [ 7 ] Other parties_Pct,David Bergland Libertarian_Votes,David Bergland Libertarian_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,All Others Various_Votes,All Others Various_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Bob Richards [ 7 ] Populist_Votes,Bob Richards [ 7 ] Populist_Pct,Delmar Dennis American_Votes,Delmar Dennis American_Pct,Lyndon LaRouche Nominated By Petition_Votes,Lyndon LaRouche Nominated By Petition_Pct,Melvin Mason [ 5 ] Socialist Workers_Votes,Melvin Mason [ 5 ] Socialist Workers_Pct,Lyndon LaRouche [ 5 ] Independent_Votes,Lyndon LaRouche [ 5 ] Independent_Pct,John B. Anderson [ 5 ] National Unity_Votes,John B. Anderson [ 5 ] National Unity_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Gus Hall [ 4 ] Communist_Votes,Gus Hall [ 4 ] Communist_Pct,Various candidates [ 4 ] Other parties_Votes,Various candidates [ 4 ] Other parties_Pct,Melvin Mason Independent_Votes,Melvin Mason Independent_Pct,Dennis Serrette Independent_Votes,Dennis Serrette Independent_Pct,None of These Candidates_Votes,None of These Candidates_Pct,David Bergland [ 4 ] Libertarian_Votes,David Bergland [ 4 ] Libertarian_Pct,Lyndon Larouche [ 4 ] Independent_Votes,Lyndon Larouche [ 4 ] Independent_Pct,Dennis Serrette [ 4 ] New Hampshire Alliance_Votes,Dennis Serrette [ 4 ] New Hampshire Alliance_Pct,Melvin Mason Socialist Workers_Votes,Melvin Mason Socialist Workers_Pct,Lyndon LaRouche Independent_Votes,Lyndon LaRouche Independent_Pct,Bob Richards America First_Votes,Bob Richards America First_Pct,Dennis Serrette United Citizens_Votes,Dennis Serrette United Citizens_Pct,David Bergland [ 10 ] Libertarian_Votes,David Bergland [ 10 ] Libertarian_Pct,Various candidates [ 10 ] Write-ins_Votes,Various candidates [ 10 ] Write-ins_Pct,Various candidates [ 10 ] Other parties_Votes,Various candidates [ 10 ] Other parties_Pct,Bob Richards Populist_Votes,Bob Richards Populist_Pct,Dennis Serrette New Alliance_Votes,Dennis Serrette New Alliance_Pct,Bob Richards Constitution_Votes,Bob Richards Constitution_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,3366,28.25,8350,70.07,165,1.38,15,0.13,21,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11917,Republican,70.07
Alabama,Baldwin__AL,7272,22.01,24964,75.55,337,1.02,29,0.09,443,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33045,Republican,75.55
Alabama,Barbour__AL,4591,45.18,5459,53.73,89,0.88,7,0.07,15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10161,Republican,53.73
Alabama,Bibb__AL,2167,38.1,3487,61.32,13,0.23,6,0.11,14,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5687,Republican,61.32
Alabama,Blount__AL,3738,29.95,8508,68.16,102,0.82,21,0.17,113,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12482,Republican,68.16
Alabama,Bullock__AL,3537,66.75,1697,32.02,49,0.92,4,0.08,12,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299,Democrat,66.75
Alabama,Butler__AL,3641,41.81,4941,56.73,116,1.33,5,0.06,6,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8709,Republican,56.73
Alabama,Calhoun__AL,12752,33.49,23291,61.16,400,1.05,1143,3,496,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38082,Republican,61.16
Alabama,Chambers__AL,5302,39.38,8024,59.6,113,0.84,10,0.07,14,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13463,Republican,59.6
Alabama,Cherokee__AL,3029,47.93,3225,51.04,55,0.87,3,0.05,7,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6319,Republican,51.04
Alabama,Chilton__AL,2934,25.1,8243,70.53,93,0.8,388,3.32,30,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11688,Republican,70.53
