State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Ron Paul [ 14 ] Libertarian_Votes,Ron Paul [ 14 ] Libertarian_Pct,Leonora Fulani [ 14 ] Independent_Votes,Leonora Fulani [ 14 ] Independent_Pct,Various candidates [ 14 ] Other parties_Votes,Various candidates [ 14 ] Other parties_Pct,Ron Paul Libertarian_Votes,Ron Paul Libertarian_Pct,Lenora Fulani New Alliance_Votes,Lenora Fulani New Alliance_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Various candidates [ 4 ] Other parties_Votes,Various candidates [ 4 ] Other parties_Pct,Ron Paul [ 18 ] Libertarian_Votes,Ron Paul [ 18 ] Libertarian_Pct,Leonora Fulani [ 18 ] New Alliance_Votes,Leonora Fulani [ 18 ] New Alliance_Pct,Ronald Paul Libertarian_Votes,Ronald Paul Libertarian_Pct,Leonora Fulani Independent_Votes,Leonora Fulani Independent_Pct,Leonora Fulani Illinois Solidarity_Votes,Leonora Fulani Illinois Solidarity_Pct,Edward Winn Socialist_Votes,Edward Winn Socialist_Pct,Lyndon LaRouche Independent_Votes,Lyndon LaRouche Independent_Pct,Ron Paul Independent_Votes,Ron Paul Independent_Pct,David Duke [ 4 ] Populist_Votes,David Duke [ 4 ] Populist_Pct,Ron Paul [ 4 ] Libertarian_Votes,Ron Paul [ 4 ] Libertarian_Pct,Leonora Fulani [ 4 ] New Alliance_Votes,Leonora Fulani [ 4 ] New Alliance_Pct,David Duke Independent Populist_Votes,David Duke Independent Populist_Pct,Ron Paul [ 3 ] Libertarian_Votes,Ron Paul [ 3 ] Libertarian_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,David Duke Independent_Votes,David Duke Independent_Pct,Leonora Fulani New Alliance_Votes,Leonora Fulani New Alliance_Pct,None of These Candidates_Votes,None of These Candidates_Pct,Lenora Fulani [ 3 ] New Alliance_Votes,Lenora Fulani [ 3 ] New Alliance_Pct,Ron Paul Write-in_Votes,Ron Paul Write-in_Pct,Lyndon LaRouche National Economic Recovery_Votes,Lyndon LaRouche National Economic Recovery_Pct,James Warren Socialist Workers_Votes,James Warren Socialist Workers_Pct,Ron Paul [ 2 ] Libertarian_Votes,Ron Paul [ 2 ] Libertarian_Pct,Lenora Fulani [ 2 ] New Alliance_Votes,Lenora Fulani [ 2 ] New Alliance_Pct,Lenora Branch Fulani [ 4 ] Independent_Votes,Lenora Branch Fulani [ 4 ] Independent_Pct,Leonora Fulani United Citizens_Votes,Leonora Fulani United Citizens_Pct,Lenora Fulani New Alliance Party_Votes,Lenora Fulani New Alliance Party_Pct,James Warren Socialist Workers Party_Votes,James Warren Socialist Workers Party_Pct,Delmar Dennis American_Votes,Delmar Dennis American_Pct,Various candidates [ 4 ] Write-ins_Votes,Various candidates [ 4 ] Write-ins_Pct,Lenora Fulani [ 16 ] Independent_Votes,Lenora Fulani [ 16 ] Independent_Pct,Ron Paul [ 16 ] Libertarian_Votes,Ron Paul [ 16 ] Libertarian_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,3667,31.47,7828,67.17,143,1.23,7,0.06,9,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11654,Republican,67.17
Alabama,Baldwin__AL,9271,26.04,25933,72.85,336,0.94,21,0.06,37,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35598,Republican,72.85
Alabama,Barbour__AL,3836,43.11,4958,55.71,83,0.93,11,0.12,11,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8899,Republican,55.71
Alabama,Bibb__AL,2244,43.61,2885,56.06,7,0.14,2,0.04,8,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5146,Republican,56.06
Alabama,Blount__AL,4485,33.1,8754,64.61,294,2.17,5,0.04,10,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13548,Republican,64.61
Alabama,Bullock__AL,3122,68.11,1421,31,24,0.52,8,0.17,9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584,Democrat,68.11
Alabama,Butler__AL,3465,46.45,3923,52.59,61,0.82,7,0.09,3,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7459,Republican,52.59
Alabama,Calhoun__AL,12451,36.66,19806,58.31,360,1.06,1325,3.9,26,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33968,Republican,58.31
Alabama,Chambers__AL,5103,39.39,7694,59.39,115,0.89,21,0.16,23,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12956,Republican,59.39
Alabama,Cherokee__AL,3176,52.06,2868,47.01,48,0.79,1,0.02,8,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6101,Democrat,52.06
Alabama,Chilton__AL,3820,30.26,8761,69.41,26,0.21,12,0.1,4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12623,Republican,69.41
Alabama,Choctaw__AL,3491,48.96,3629,50.89,5,0.07,1,0.01,5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7131,Republican,50.89
