State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Perot_Votes,Perot_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Andre Marrou Libertarian_Votes,Andre Marrou Libertarian_Pct,Perot [ 4 ] Independent_Votes,Perot [ 4 ] Independent_Pct,Andre Marrou [ 4 ] Libertarian_Votes,Andre Marrou [ 4 ] Libertarian_Pct,Various candidates [ 4 ] Other parties_Votes,Various candidates [ 4 ] Other parties_Pct,All Others Various_Votes,All Others Various_Pct,Bo Gritz [ 5 ] Independent_Votes,Bo Gritz [ 5 ] Independent_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Others_Votes,Others_Pct,Perot [ 7 ] Independent_Votes,Perot [ 7 ] Independent_Pct,John Hagelin [ 7 ] Natural Law_Votes,John Hagelin [ 7 ] Natural Law_Pct,Various candidates [ 7 ] Other parties_Votes,Various candidates [ 7 ] Other parties_Pct,Perot [ 6 ] Independent_Votes,Perot [ 6 ] Independent_Pct,Andre Marrou [ 6 ] Libertarian_Votes,Andre Marrou [ 6 ] Libertarian_Pct,Various candidates [ 6 ] Other parties_Votes,Various candidates [ 6 ] Other parties_Pct,Bo Gritz America First_Votes,Bo Gritz America First_Pct,Lenora Fulani Independent_Votes,Lenora Fulani Independent_Pct,John Hagelin Independent_Votes,John Hagelin Independent_Pct,Perot [ 3 ] Independent_Votes,Perot [ 3 ] Independent_Pct,Andre Marrou [ 3 ] Libertarian_Votes,Andre Marrou [ 3 ] Libertarian_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,Lyndon LaRouche Independent_Votes,Lyndon LaRouche Independent_Pct,Various candidates Independent_Votes,Various candidates Independent_Pct,Bo Gritz Populist_Votes,Bo Gritz Populist_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,4819,30.92,8715,55.92,1916,12.29,135,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15585,Republican,55.92
Alabama,Baldwin__AL,12195,26.24,26270,56.52,7656,16.47,355,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46476,Republican,56.52
Alabama,Barbour__AL,4836,46.36,4475,42.9,1020,9.78,100,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10431,Democrat,46.36
Alabama,Bibb__AL,2900,43.15,3124,46.49,686,10.21,10,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720,Republican,46.49
Alabama,Blount__AL,5433,32.92,8882,53.81,1949,11.81,241,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16505,Republican,53.81
Alabama,Bullock__AL,3259,67.67,1253,26.02,266,5.52,38,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816,Democrat,67.67
Alabama,Butler__AL,4021,47.43,3494,41.21,867,10.23,96,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8478,Democrat,47.43
Alabama,Calhoun__AL,16453,38.44,20623,48.18,4717,11.02,1007,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42800,Republican,48.18
Alabama,Chambers__AL,5938,45.36,5682,43.4,1427,10.9,44,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13091,Democrat,45.36
Alabama,Cherokee__AL,4222,53.61,2745,34.85,846,10.74,63,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7876,Democrat,53.61
Alabama,Chilton__AL,4946,34.19,8126,56.17,1363,9.42,33,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14468,Republican,56.17
Alabama,Choctaw__AL,3941,52.13,3069,40.6,489,6.47,61,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560,Democrat,52.13
Alabama,Clarke__AL,5023,42.87,5495,46.9,872,7.44,327,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11717,Republican,46.9
Alabama,Clay__AL,2073,36.02,2859,49.68,652,11.33,171,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5755,Republican,49.68
Alabama,Cleburne__AL,2144,40.94,2425,46.31,630,12.03,38,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5237,Republican,46.31
Alabama,Coffee__AL,5776,37.19,7591,48.87,2021,13.01,145,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15533,Republican,48.87
Alabama,Colbert__AL,12206,54.4,8073,35.98,2098,9.35,62,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22439,Democrat,54.4
Alabama,Conecuh__AL,3155,50.02,2463,39.05,552,8.75,137,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6307,Democrat,50.02
Alabama,Coosa__AL,2330,48.56,1973,41.12,476,9.92,19,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4798,Democrat,48.56
Alabama,Covington__AL,5004,35.84,6840,48.99,1880,13.47,238,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13962,Republican,48.99
Alabama,Crenshaw__AL,2404,45.44,2339,44.22,485,9.17,62,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290,Democrat,45.44
Alabama,Cullman__AL,10451,35.98,14411,49.62,4113,14.16,68,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29043,Republican,49.62
Alabama,Dale__AL,5098,32.29,8123,51.45,2423,15.35,143,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15787,Republican,51.45
Alabama,Dallas__AL,11053,56.38,7394,37.72,1110,5.66,47,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19604,Democrat,56.38
Alabama,DeKalb__AL,8245,38.2,10519,48.73,2741,12.7,80,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21585,Republican,48.73
Alabama,Elmore__AL,6223,30.52,11356,55.7,2765,13.56,44,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20388,Republican,55.7
Alabama,Escambia__AL,4809,37.5,5955,46.44,1616,12.6,444,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12824,Republican,46.44
Alabama,Etowah__AL,20558,48.43,17467,41.15,4277,10.08,149,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42451,Democrat,48.43
Alabama,Fayette__AL,3830,45.22,3604,42.55,1012,11.95,24,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8470,Democrat,45.22
Alabama,Franklin__AL,5953,50.2,4794,40.43,1075,9.07,36,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11858,Democrat,50.2
Alabama,Geneva__AL,3622,36.71,4843,49.08,1323,13.41,79,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9867,Republican,49.08
Alabama,Greene__AL,3865,79.18,805,16.49,194,3.97,17,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4881,Democrat,79.18
Alabama,Hale__AL,3481,57.8,2001,33.22,486,8.07,55,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6023,Democrat,57.8
Alabama,Henry__AL,2804,43.15,2970,45.7,667,10.26,58,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6499,Republican,45.7
Alabama,Houston__AL,8857,29.76,17360,58.33,3492,11.73,51,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29760,Republican,58.33
