State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Ross Perot_Votes,Ross Perot_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ross Perot Reform_Votes,Ross Perot Reform_Pct,Harry Browne Libertarian_Votes,Harry Browne Libertarian_Pct,Ralph Nader Green_Votes,Ralph Nader Green_Pct,Ralph Nader [ 2 ] Green_Votes,Ralph Nader [ 2 ] Green_Pct,Harry Browne [ 2 ] Libertarian_Votes,Harry Browne [ 2 ] Libertarian_Pct,All Others [ a ] Various_Votes,All Others [ a ] Various_Pct,Harry E. Browne Libertarian_Votes,Harry E. Browne Libertarian_Pct,Others_Votes,Others_Pct,Ralph Nader [ 4 ] Green_Votes,Ralph Nader [ 4 ] Green_Pct,John Hagelin [ 4 ] Natural Law_Votes,John Hagelin [ 4 ] Natural Law_Pct,Ross Perot [ 3 ] Reform_Votes,Ross Perot [ 3 ] Reform_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,Howard Phillips Independent_Votes,Howard Phillips Independent_Pct,John Hagelin Natural Law_Votes,John Hagelin Natural Law_Pct,No Candidate [ 3 ] None of the Above_Votes,No Candidate [ 3 ] None of the Above_Pct,Ralph Nader [ 3 ] Green_Votes,Ralph Nader [ 3 ] Green_Pct,Ross Perot [ 10 ] Reform_Votes,Ross Perot [ 10 ] Reform_Pct,Harry Browne [ 10 ] Libertarian_Votes,Harry Browne [ 10 ] Libertarian_Pct,Various candidates [ 10 ] Other parties_Votes,Various candidates [ 10 ] Other parties_Pct,Ross Perot Independence_Votes,Ross Perot Independence_Pct,Ralph Nader [ 5 ] Green_Votes,Ralph Nader [ 5 ] Green_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Howard Phillips U.S. Taxpayers_Votes,Howard Phillips U.S. Taxpayers_Pct,Ralph Nader [ 4 ] Pacific Green_Votes,Ralph Nader [ 4 ] Pacific Green_Pct,Various candidates [ 13 ] Other parties_Votes,Various candidates [ 13 ] Other parties_Pct,Harry Browne [ 3 ] Libertarian_Votes,Harry Browne [ 3 ] Libertarian_Pct,John Hagelin [ 3 ] Natural Law_Votes,John Hagelin [ 3 ] Natural Law_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,5015,32.52,9509,61.66,813,5.27,85,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15422,Republican,61.66
Alabama,Baldwin__AL,12776,27.11,29487,62.58,4520,9.59,336,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47119,Republican,62.58
Alabama,Barbour__AL,4787,53.47,3627,40.51,515,5.75,24,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8953,Democrat,53.47
Alabama,Bibb__AL,2775,44.04,3037,48.2,455,7.22,34,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6301,Republican,48.2
Alabama,Blount__AL,5061,33.02,9056,59.09,985,6.43,225,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15327,Republican,59.09
Alabama,Bullock__AL,3078,70.21,1154,26.32,111,2.53,41,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384,Democrat,70.21
Alabama,Butler__AL,3828,49.27,3352,43.14,538,6.92,52,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7770,Democrat,49.27
Alabama,Calhoun__AL,15725,42.6,18088,49,2613,7.08,485,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36911,Republican,49
Alabama,Chambers__AL,5515,49.7,4707,42.42,812,7.32,63,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11097,Democrat,49.7
Alabama,Cherokee__AL,4399,52.24,3048,36.2,899,10.68,75,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421,Democrat,52.24
Alabama,Chilton__AL,5354,37.5,7910,55.4,929,6.51,85,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14278,Republican,55.4
