State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ralph Nader [ 5 ] Green_Votes,Ralph Nader [ 5 ] Green_Pct,Pat Buchanan [ 5 ] Reform_Votes,Pat Buchanan [ 5 ] Reform_Pct,Various candidates [ 5 ] Other parties_Votes,Various candidates [ 5 ] Other parties_Pct,Ralph Nader Green_Votes,Ralph Nader Green_Pct,Pat Buchanan Reform_Votes,Pat Buchanan Reform_Pct,Ralph Nader [ 3 ] Write-in_Votes,Ralph Nader [ 3 ] Write-in_Pct,Pat Buchanan [ 3 ] Reform_Votes,Pat Buchanan [ 3 ] Reform_Pct,Various candidates [ 3 ] Other parties_Votes,Various candidates [ 3 ] Other parties_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Pat Buchanan Independent_Votes,Pat Buchanan Independent_Pct,Harry E. Browne Libertarian_Votes,Harry E. Browne Libertarian_Pct,Ralph Nader [ 1 ] Green_Votes,Ralph Nader [ 1 ] Green_Pct,Harry Browne [ 1 ] Libertarian_Votes,Harry Browne [ 1 ] Libertarian_Pct,Pat Buchanan [ 1 ] Independent_Votes,Pat Buchanan [ 1 ] Independent_Pct,Various candidates [ b ] Other parties_Votes,Various candidates [ b ] Other parties_Pct,Ralph Nader [ 21 ] Green_Votes,Ralph Nader [ 21 ] Green_Pct,Pat Buchanan [ 21 ] Reform_Votes,Pat Buchanan [ 21 ] Reform_Pct,Harry Browne [ 21 ] Libertarian_Votes,Harry Browne [ 21 ] Libertarian_Pct,Various candidates [ 21 ] Other parties_Votes,Various candidates [ 21 ] Other parties_Pct,Ralph Nader Pacific Green_Votes,Ralph Nader Pacific Green_Pct,Harry Browne Libertarian_Votes,Harry Browne Libertarian_Pct,David McReynolds Write-in_Votes,David McReynolds Write-in_Pct,Ralph Nader Not Designated_Votes,Ralph Nader Not Designated_Pct,Howard Phillips Constitution_Votes,Howard Phillips Constitution_Pct,Ralph Nader United Citizens_Votes,Ralph Nader United Citizens_Pct,John Hagelin Natural Law_Votes,John Hagelin Natural Law_Pct,Howard Phillips Independent_Votes,Howard Phillips Independent_Pct,Ralph Nader Green/Progressive_Votes,Ralph Nader Green/Progressive_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,4942,28.72,11993,69.69,273,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17208,Republican,69.69
Alabama,Baldwin__AL,13997,24.78,40872,72.37,1611,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56480,Republican,72.37
Alabama,Barbour__AL,5188,49.91,5096,49.02,111,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10395,Democrat,49.91
Alabama,Bibb__AL,2710,38.16,4273,60.17,118,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7101,Republican,60.17
Alabama,Blount__AL,4977,35.67,12667,70.48,329,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17973,Republican,70.48
Alabama,Bullock__AL,3395,69.23,1433,29.22,76,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4904,Democrat,69.23
Alabama,Butler__AL,3606,46.21,4127,52.89,70,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7803,Republican,52.89
Alabama,Calhoun__AL,15781,40.56,22306,57.33,822,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38909,Republican,57.33
Alabama,Chambers__AL,5616,47.46,6037,51.01,181,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11834,Republican,51.01
Alabama,Cherokee__AL,3497,44.7,4154,53.1,172,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7823,Republican,53.1
Alabama,Chilton__AL,4806,31.84,10066,66.7,220,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15092,Republican,66.7
