State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Michael Badnarik [ 11 ] Libertarian_Votes,Michael Badnarik [ 11 ] Libertarian_Pct,Various candidates [ 11 ] Write-ins_Votes,Various candidates [ 11 ] Write-ins_Pct,Michael J. Badnarik [ 9 ] Libertarian_Votes,Michael J. Badnarik [ 9 ] Libertarian_Pct,Michael Anthony Peroutka [ 9 ] Constitution_Votes,Michael Anthony Peroutka [ 9 ] Constitution_Pct,Various Other Candidates [ 9 ] Write In_Votes,Various Other Candidates [ 9 ] Write In_Pct,Ralph Nader Reform_Votes,Ralph Nader Reform_Pct,Michael James Badnarik Libertarian_Votes,Michael James Badnarik Libertarian_Pct,Ralph Nader By Petition_Votes,Ralph Nader By Petition_Pct,Michael Badarnik Libertarian_Votes,Michael Badarnik Libertarian_Pct,Michael Peroutka Nebraska_Votes,Michael Peroutka Nebraska_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Michael Badnarik Libertarian_Votes,Michael Badnarik Libertarian_Pct,Michael Peroutka Constitution_Votes,Michael Peroutka Constitution_Pct,Michael J. Badnarik Libertarian_Votes,Michael J. Badnarik Libertarian_Pct,David Cobb Green_Votes,David Cobb Green_Pct,Walt Brown United Citizens_Votes,Walt Brown United Citizens_Pct,Ralph Nader Unaffiliated_Votes,Ralph Nader Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,4758,23.69,15196,75.67,127,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20081,Republican,75.67
Alabama,Baldwin__AL,15599,22.5,52971,76.42,750,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69320,Republican,76.42
Alabama,Barbour__AL,4832,44.84,5899,54.74,46,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10777,Republican,54.74
Alabama,Bibb__AL,2089,27.49,5472,72.0,39,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600,Republican,72.0
Alabama,Blount__AL,3938,18.31,17386,80.85,180,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21504,Republican,80.85
Alabama,Bullock__AL,3210,68.05,1494,31.67,13,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4717,Democrat,68.05
Alabama,Butler__AL,3413,40.55,4979,59.16,24,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8416,Republican,59.16
Alabama,Calhoun__AL,15083,33.33,29814,65.89,352,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45249,Republican,65.89
Alabama,Chambers__AL,5347,41.03,7622,58.49,63,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13032,Republican,58.49
Alabama,Cherokee__AL,3040,33.59,5923,65.45,86,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9049,Republican,65.45
Alabama,Chilton__AL,3778,22.63,12829,76.85,86,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16693,Republican,76.85
Alabama,Choctaw__AL,3303,45.7,3897,53.92,27,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7227,Republican,53.92
Alabama,Clarke__AL,4627,40.61,6730,59.07,37,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11394,Republican,59.07
Alabama,Clay__AL,1893,28.79,4624,70.32,59,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576,Republican,70.32
Alabama,Cleburne__AL,1391,23.99,4370,75.37,37,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5798,Republican,75.37
Alabama,Coffee__AL,4480,25.43,13019,73.9,117,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17616,Republican,73.9
Alabama,Colbert__AL,10598,44.28,13188,55.1,149,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23935,Republican,55.1
Alabama,Conecuh__AL,2719,45.16,3271,54.33,31,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021,Republican,54.33
Alabama,Coosa__AL,2055,41.09,2905,58.09,41,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5001,Republican,58.09
Alabama,Covington__AL,3423,23.4,11119,76.02,85,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14627,Republican,76.02
Alabama,Crenshaw__AL,1698,30.87,3777,68.67,25,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,Republican,68.67
Alabama,Cullman__AL,8045,22.86,26818,76.21,328,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35191,Republican,76.21
Alabama,Dale__AL,4484,24.6,13621,74.71,126,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18231,Republican,74.71
Alabama,Dallas__AL,11175,60.17,7335,39.49,63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18573,Democrat,60.17
Alabama,DeKalb__AL,7092,29.34,16904,69.94,173,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24169,Republican,69.94
Alabama,Elmore__AL,6471,22.56,22056,76.9,153,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28680,Republican,76.9
Alabama,Escambia__AL,3814,30.77,8513,68.68,68,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12395,Republican,68.68
Alabama,Etowah__AL,15328,35.91,26999,63.26,353,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42680,Republican,63.26
Alabama,Fayette__AL,2408,30.09,5534,69.16,60,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8002,Republican,69.16
Alabama,Franklin__AL,4514,36.79,7690,62.68,65,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12269,Republican,62.68
Alabama,Geneva__AL,2113,20.09,8342,79.3,65,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10520,Republican,79.3
Alabama,Greene__AL,3764,79.28,958,20.18,26,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748,Democrat,79.28
Alabama,Hale__AL,4631,58.29,3281,41.3,33,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7945,Democrat,58.29
Alabama,Henry__AL,2452,33.31,4881,66.31,28,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7361,Republican,66.31
Alabama,Houston__AL,9144,25.26,26874,74.24,183,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36201,Republican,74.24
Alabama,Jackson__AL,8635,42.49,11534,56.76,152,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20321,Republican,56.76
Alabama,Jefferson__AL,132286,45.15,158680,54.16,2001,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292967,Republican,54.16
Alabama,Lamar__AL,1956,28.41,4894,71.08,35,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6885,Republican,71.08
Alabama,Lauderdale__AL,14628,39.42,22161,59.72,318,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37107,Republican,59.72
Alabama,Lawrence__AL,6155,43.96,7730,55.21,116,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14001,Republican,55.21
Alabama,Lee__AL,16227,36.38,27972,62.7,411,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44610,Republican,62.7
Alabama,Limestone__AL,9126,31.39,19702,67.77,245,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29073,Republican,67.77
Alabama,Lowndes__AL,4233,70.3,1786,29.66,2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021,Democrat,70.3
Alabama,Macon__AL,7800,82.92,1570,16.69,37,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9407,Democrat,82.92
Alabama,Madison__AL,52644,40.17,77173,58.88,1245,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131062,Republican,58.88
Alabama,Marengo__AL,5037,48.8,5255,50.91,30,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10322,Republican,50.91
Alabama,Marion__AL,3808,29.58,8983,69.77,84,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12875,Republican,69.77
Alabama,Marshall__AL,8452,26.84,22783,72.35,256,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31491,Republican,72.35
Alabama,Mobile__AL,63732,40.65,92014,58.69,1025,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156771,Republican,58.69
Alabama,Monroe__AL,3666,38.45,5831,61.16,37,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9534,Republican,61.16
Alabama,Montgomery__AL,45160,50.37,44097,49.19,393,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89650,Democrat,50.37
Alabama,Morgan__AL,14131,30.06,32477,69.09,399,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47007,Republican,69.09
Alabama,Perry__AL,3767,68.21,1738,31.47,18,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5523,Democrat,68.21
Alabama,Pickens__AL,3915,42.87,5170,56.61,47,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9132,Republican,56.61
Alabama,Pike__AL,4334,36.47,7483,62.97,66,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11883,Republican,62.97
Alabama,Randolph__AL,2817,31.3,6127,68.07,57,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9001,Republican,68.07
Alabama,Russell__AL,8375,49.82,8337,49.6,97,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16809,Democrat,49.82
Alabama,Shelby__AL,14850,18.82,63435,80.39,621,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78906,Republican,80.39
