State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Ralph Nader [ 23 ] Independent_Votes,Ralph Nader [ 23 ] Independent_Pct,Charles Baldwin [ 23 ] Constitution_Votes,Charles Baldwin [ 23 ] Constitution_Pct,Bob Barr [ 23 ] Libertarian_Votes,Bob Barr [ 23 ] Libertarian_Pct,Ralph Nader Independent_Votes,Ralph Nader Independent_Pct,Bob Barr Libertarian_Votes,Bob Barr Libertarian_Pct,Cynthia McKinney Green_Votes,Cynthia McKinney Green_Pct,Charles Baldwin Constitution_Votes,Charles Baldwin Constitution_Pct,Ralph Nader Peace_Votes,Ralph Nader Peace_Pct,Cynthia McKinney Pacific Green_Votes,Cynthia McKinney Pacific Green_Pct,Various candidates Write-ins_Votes,Various candidates Write-ins_Pct,Bob Barr Independent_Votes,Bob Barr Independent_Pct,Charles Baldwin [ 24 ] Constitution_Votes,Charles Baldwin [ 24 ] Constitution_Pct,Ralph Nader [ 24 ] Peace and Freedom_Votes,Ralph Nader [ 24 ] Peace and Freedom_Pct,Bob Barr [ 24 ] Libertarian_Votes,Bob Barr [ 24 ] Libertarian_Pct,Various candidates [ 24 ] Other parties_Votes,Various candidates [ 24 ] Other parties_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,6093,25.77,17403,73.61,145,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23641,Republican,73.61
Alabama,Baldwin__AL,19386,23.81,61271,75.26,756,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81413,Republican,75.26
Alabama,Barbour__AL,5697,48.99,5866,50.44,67,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11630,Republican,50.44
Alabama,Bibb__AL,2299,26.6,6262,72.44,83,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8644,Republican,72.44
Alabama,Blount__AL,3522,14.51,20389,84.02,356,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24267,Republican,84.02
Alabama,Bullock__AL,4011,74.07,1391,25.69,13,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5415,Democrat,74.07
Alabama,Butler__AL,4188,43.14,5485,56.49,36,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9709,Republican,56.49
Alabama,Calhoun__AL,16334,33.17,32348,65.69,560,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49242,Republican,65.69
Alabama,Chambers__AL,6799,45.46,8067,53.94,90,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14956,Republican,53.94
Alabama,Cherokee__AL,2306,23.66,7298,74.89,141,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9745,Republican,74.89
Alabama,Chilton__AL,3674,20.66,13960,78.49,151,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17785,Republican,78.49
Alabama,Choctaw__AL,3636,46.06,4223,53.5,35,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7894,Republican,53.5
Alabama,Clarke__AL,5914,44.02,7466,55.57,55,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13435,Republican,55.57
Alabama,Clay__AL,1760,25.81,4984,73.09,75,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6819,Republican,73.09
Alabama,Cleburne__AL,1168,17.99,5216,80.35,108,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6492,Republican,80.35
Alabama,Coffee__AL,5079,25.23,14919,74.12,130,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20128,Republican,74.12
Alabama,Colbert__AL,9703,39.06,14739,59.33,401,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24843,Republican,59.33
Alabama,Conecuh__AL,3429,49.39,3470,49.98,44,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6943,Republican,49.98
Alabama,Coosa__AL,2273,40.86,3248,58.39,42,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5563,Republican,58.39
Alabama,Covington__AL,3240,20.52,12444,78.82,103,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15787,Republican,78.82
Alabama,Crenshaw__AL,1938,30.81,4319,68.65,34,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6291,Republican,68.65
Alabama,Cullman__AL,5864,16.61,28896,81.85,545,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35305,Republican,81.85
Alabama,Dale__AL,5270,27.28,13886,71.87,164,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19320,Republican,71.87
Alabama,Dallas__AL,13986,67.07,6798,32.6,68,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20852,Democrat,67.07
Alabama,DeKalb__AL,5658,23.56,17957,74.77,400,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24015,Republican,74.77
Alabama,Elmore__AL,8301,24.19,25777,75.12,237,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34315,Republican,75.12
Alabama,Escambia__AL,5188,35.36,9375,63.89,111,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14674,Republican,63.89
Alabama,Etowah__AL,13497,30.17,30595,68.39,645,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44737,Republican,68.39
Alabama,Fayette__AL,1994,25.06,5883,73.93,80,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7957,Republican,73.93
Alabama,Franklin__AL,3469,29.67,8048,68.83,176,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11693,Republican,68.83
Alabama,Geneva__AL,2134,18.31,9417,80.78,106,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11657,Republican,80.78
Alabama,Greene__AL,4408,83.09,876,16.51,21,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305,Democrat,83.09
Alabama,Hale__AL,4982,60.65,3200,38.96,32,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8214,Democrat,60.65
Alabama,Henry__AL,3018,34.9,5585,64.58,45,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8648,Republican,64.58
Alabama,Houston__AL,12225,29.29,29254,70.09,256,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41735,Republican,70.09
Alabama,Jackson__AL,6374,30.54,14083,67.47,417,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20874,Republican,67.47
Alabama,Jefferson__AL,166121,52.15,149921,47.07,2482,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318524,Democrat,52.15
Alabama,Lamar__AL,1614,22.81,5419,76.59,42,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7075,Republican,76.59
Alabama,Lauderdale__AL,13329,34.98,24068,63.16,707,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38104,Republican,63.16
Alabama,Lawrence__AL,5164,35.18,9277,63.19,239,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14680,Republican,63.19
Alabama,Lee__AL,21498,39.57,32230,59.33,597,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54325,Republican,59.33
Alabama,Limestone__AL,9536,28.42,23598,70.33,417,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33551,Republican,70.33
Alabama,Lowndes__AL,5449,74.87,1809,24.86,20,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7278,Democrat,74.87
Alabama,Macon__AL,9450,86.88,1396,12.83,31,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10877,Democrat,86.88
Alabama,Madison__AL,64117,41.93,86965,56.88,1817,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152899,Republican,56.88
Alabama,Marengo__AL,5926,51.66,5516,48.09,29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11471,Democrat,51.66
Alabama,Marion__AL,2600,21.04,9536,77.18,219,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12355,Republican,77.18
Alabama,Marshall__AL,7038,21.22,25727,77.57,401,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33166,Republican,77.57
Alabama,Mobile__AL,82181,45.3,98049,54.04,1194,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181424,Republican,54.04
Alabama,Monroe__AL,5025,44.66,6175,54.88,52,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11252,Republican,54.88
Alabama,Montgomery__AL,62166,59.35,42031,40.13,546,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104743,Democrat,59.35
Alabama,Morgan__AL,13895,27.49,36014,71.26,633,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50542,Republican,71.26
Alabama,Perry__AL,4457,72.37,1679,27.26,23,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6159,Democrat,72.37
Alabama,Pickens__AL,4594,45.63,5434,53.98,39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10067,Republican,53.98
