State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Charles Baldwin Reform_Votes,Charles Baldwin Reform_Pct,Gary Johnson [ 21 ] Libertarian_Votes,Gary Johnson [ 21 ] Libertarian_Pct,Jill Stein [ 21 ] Green_Votes,Jill Stein [ 21 ] Green_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Virgil Goode Constitution_Votes,Virgil Goode Constitution_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,6363,26.54,17379,72.49,231,0.97,,,,,,,,,,,,,23973,Republican,72.49
Alabama,Baldwin__AL,18424,21.55,66016,77.22,1051,1.23,,,,,,,,,,,,,85491,Republican,77.22
Alabama,Barbour__AL,5912,51.33,5550,48.19,55,0.48,,,,,,,,,,,,,11517,Democrat,51.33
Alabama,Bibb__AL,2202,26.15,6132,72.83,86,1.02,,,,,,,,,,,,,8420,Republican,72.83
Alabama,Blount__AL,2970,12.34,20757,86.27,333,1.39,,,,,,,,,,,,,24060,Republican,86.27
Alabama,Bullock__AL,4061,76.31,1251,23.51,10,0.18,,,,,,,,,,,,,5322,Democrat,76.31
Alabama,Butler__AL,4374,46.03,5087,53.54,41,0.43,,,,,,,,,,,,,9502,Republican,53.54
Alabama,Calhoun__AL,15511,33.45,30278,65.3,575,1.25,,,,,,,,,,,,,46364,Republican,65.3
Alabama,Chambers__AL,6871,46.97,7626,52.13,132,0.9,,,,,,,,,,,,,14629,Republican,52.13
Alabama,Cherokee__AL,2132,21.77,7506,76.65,154,1.58,,,,,,,,,,,,,9792,Republican,76.65
Alabama,Chilton__AL,3397,19.43,13932,79.68,156,0.89,,,,,,,,,,,,,17485,Republican,79.68
Alabama,Choctaw__AL,3786,47.47,4152,52.06,38,0.47,,,,,,,,,,,,,7976,Republican,52.06
Alabama,Clarke__AL,6334,45.7,7470,53.9,56,0.4,,,,,,,,,,,,,13860,Republican,53.9
Alabama,Clay__AL,1777,26.61,4817,72.12,85,1.27,,,,,,,,,,,,,6679,Republican,72.12
Alabama,Cleburne__AL,971,15.37,5272,83.43,76,1.2,,,,,,,,,,,,,6319,Republican,83.43
Alabama,Coffee__AL,4925,24.85,14666,73.99,230,1.16,,,,,,,,,,,,,19821,Republican,73.99
Alabama,Colbert__AL,9166,39.1,13936,59.44,342,1.46,,,,,,,,,,,,,23444,Republican,59.44
Alabama,Conecuh__AL,3555,50.6,3439,48.95,31,0.45,,,,,,,,,,,,,7025,Democrat,50.6
Alabama,Coosa__AL,2191,41.48,3049,57.72,42,0.8,,,,,,,,,,,,,5282,Republican,57.72
Alabama,Covington__AL,3158,20.45,12153,78.72,128,0.83,,,,,,,,,,,,,15439,Republican,78.72
Alabama,Crenshaw__AL,2050,31.91,4331,67.42,43,0.67,,,,,,,,,,,,,6424,Republican,67.42
Alabama,Cullman__AL,5052,14.62,28999,83.92,504,1.46,,,,,,,,,,,,,34555,Republican,83.92
Alabama,Dale__AL,5286,28.42,13108,70.47,207,1.11,,,,,,,,,,,,,18601,Republican,70.47
Alabama,Dallas__AL,14612,69.7,6288,29.99,64,0.31,,,,,,,,,,,,,20964,Democrat,69.7
Alabama,DeKalb__AL,5239,21.87,18331,76.54,380,1.59,,,,,,,,,,,,,23950,Republican,76.54
Alabama,Elmore__AL,8954,25.19,26253,73.86,339,0.95,,,,,,,,,,,,,35546,Republican,73.86
Alabama,Escambia__AL,5489,36.85,9287,62.35,118,0.8,,,,,,,,,,,,,14894,Republican,62.35
Alabama,Etowah__AL,12803,30.04,29130,68.34,691,1.62,,,,,,,,,,,,,42624,Republican,68.34
Alabama,Fayette__AL,1817,22.83,6054,76.07,87,1.1,,,,,,,,,,,,,7958,Republican,76.07
Alabama,Franklin__AL,3171,29.14,7567,69.54,143,1.32,,,,,,,,,,,,,10881,Republican,69.54
Alabama,Geneva__AL,2039,17.99,9175,80.97,117,1.04,,,,,,,,,,,,,11331,Republican,80.97
Alabama,Greene__AL,4521,84.62,804,15.05,18,0.33,,,,,,,,,,,,,5343,Democrat,84.62
Alabama,Hale__AL,5411,62.58,3210,37.12,26,0.3,,,,,,,,,,,,,8647,Democrat,62.58
Alabama,Henry__AL,3083,35.17,5628,64.2,55,0.63,,,,,,,,,,,,,8766,Republican,64.2
Alabama,Houston__AL,12367,29.46,29270,69.72,347,0.82,,,,,,,,,,,,,41984,Republican,69.72
Alabama,Jackson__AL,5822,28.22,14439,69.98,371,1.8,,,,,,,,,,,,,20632,Republican,69.98
Alabama,Jefferson__AL,159876,52.5,141683,46.53,2964,0.97,,,,,,,,,,,,,304523,Democrat,52.5
Alabama,Lamar__AL,1646,22.94,5457,76.05,73,1.01,,,,,,,,,,,,,7176,Republican,76.05
Alabama,Lauderdale__AL,12511,33.78,23911,64.57,610,1.65,,,,,,,,,,,,,37032,Republican,64.57
Alabama,Lawrence__AL,5069,35.83,8874,62.72,205,1.45,,,,,,,,,,,,,14148,Republican,62.72
Alabama,Lee__AL,21381,39.23,32194,59.08,921,1.69,,,,,,,,,,,,,54496,Republican,59.08
Alabama,Limestone__AL,9829,27.66,25295,71.17,416,1.17,,,,,,,,,,,,,35540,Republican,71.17
Alabama,Lowndes__AL,5747,76.39,1756,23.34,20,0.27,,,,,,,,,,,,,7523,Democrat,76.39
Alabama,Macon__AL,9045,87,1331,12.8,20,0.2,,,,,,,,,,,,,10396,Democrat,87
Alabama,Madison__AL,62015,39.9,90884,58.47,2529,1.63,,,,,,,,,,,,,155428,Republican,58.47
Alabama,Marengo__AL,6167,53.43,5336,46.23,40,0.34,,,,,,,,,,,,,11543,Democrat,53.43
Alabama,Marion__AL,2249,18.54,9697,79.95,183,1.51,,,,,,,,,,,,,12129,Republican,79.95
Alabama,Marshall__AL,6299,19.3,25867,79.24,478,1.46,,,,,,,,,,,,,32644,Republican,79.24
Alabama,Mobile__AL,78760,44.97,94893,54.18,1487,0.85,,,,,,,,,,,,,175140,Republican,54.18
Alabama,Monroe__AL,4914,45.85,5741,53.57,62,0.58,,,,,,,,,,,,,10717,Republican,53.57
Alabama,Montgomery__AL,63085,61.81,38332,37.56,650,0.63,,,,,,,,,,,,,102067,Democrat,61.81
Alabama,Morgan__AL,13439,27.17,35391,71.56,629,1.27,,,,,,,,,,,,,49459,Republican,71.56
Alabama,Perry__AL,4568,74.87,1506,24.68,27,0.45,,,,,,,,,,,,,6101,Democrat,74.87
Alabama,Pickens__AL,4455,46.3,5124,53.26,42,0.44,,,,,,,,,,,,,9621,Republican,53.26
Alabama,Pike__AL,6035,42.73,7963,56.38,125,0.89,,,,,,,,,,,,,14123,Republican,56.38
Alabama,Randolph__AL,3078,29.54,7224,69.32,119,1.14,,,,,,,,,,,,,10421,Republican,69.32
Alabama,Russell__AL,10500,55.53,8278,43.78,132,0.69,,,,,,,,,,,,,18910,Democrat,55.53
Alabama,Shelby__AL,20051,21.62,71436,77.03,1255,1.35,,,,,,,,,,,,,92742,Republican,77.03
Alabama,St__Clair__AL,5801,16.46,29031,82.39,403,1.15,,,,,,,,,,,,,35235,Republican,82.39
Alabama,Sumter__AL,5421,77.11,1586,22.56,23,0.33,,,,,,,,,,,,,7030,Democrat,77.11
Alabama,Talladega__AL,13905,41.61,19246,57.6,265,0.79,,,,,,,,,,,,,33416,Republican,57.6
Alabama,Tallapoosa__AL,6319,33.52,12396,65.76,136,0.72,,,,,,,,,,,,,18851,Republican,65.76
Alabama,Tuscaloosa__AL,32048,40.68,45748,58.08,976,1.24,,,,,,,,,,,,,78772,Republican,58.08
Alabama,Walker__AL,6557,22.94,21651,75.74,377,1.32,,,,,,,,,,,,,28585,Republican,75.74
Alabama,Washington__AL,2976,33.87,5761,65.56,50,0.57,,,,,,,,,,,,,8787,Republican,65.56
Alabama,Wilcox__AL,4868,74.26,1679,25.61,8,0.13,,,,,,,,,,,,,6555,Democrat,74.26
Alabama,Winston__AL,1286,13.22,8312,85.44,130,1.34,,,,,,,,,,,,,9728,Republican,85.44
Arizona,Apache__AZ,17147,66.16,8250,31.83,520,2.01,,,,,,,,,,,,,25917,Democrat,66.16
Arizona,Cochise__AZ,18546,37.69,29497,59.95,1158,2.35,,,,,,,,,,,,,49201,Republican,59.95
Arizona,Coconino__AZ,29257,56.3,21220,40.84,1485,2.86,,,,,,,,,,,,,51962,Democrat,56.3
Arizona,Gila__AZ,7697,35.64,13455,62.31,443,2.05,,,,,,,,,,,,,21595,Republican,62.31
Arizona,Graham__AZ,3609,30.31,8076,67.84,220,1.85,,,,,,,,,,,,,11905,Republican,67.84
Arizona,Greenlee__AZ,1310,43.87,1592,53.32,84,2.81,,,,,,,,,,,,,2986,Republican,53.32
Arizona,La_Paz__AZ,1880,32.78,3714,64.76,141,2.46,,,,,,,,,,,,,5735,Republican,64.76
Arizona,Maricopa__AZ,602288,43.61,749885,54.3,28786,2.08,,,,,,,,,,,,,1380959,Republican,54.3
Arizona,Mohave__AZ,19533,27.77,49168,69.91,1627,2.31,,,,,,,,,,,,,70328,Republican,69.91
Arizona,Navajo__AZ,16945,45.23,19884,53.07,636,1.7,,,,,,,,,,,,,37465,Republican,53.07
