State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Gary Johnson Libertarian_Votes,Gary Johnson Libertarian_Pct,Jill Stein Green_Votes,Jill Stein Green_Pct,Evan McMullin Independent_Votes,Evan McMullin Independent_Pct,Gary Johnson Nonparty_Votes,Gary Johnson Nonparty_Pct,Richard Duncan Nonparty_Votes,Richard Duncan Nonparty_Pct,Darrell Castle Constitution_Votes,Darrell Castle Constitution_Pct,Evan McMullin Unaffiliated_Votes,Evan McMullin Unaffiliated_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,5936,23.77,18172,72.77,865,3.46,,,,,,,,,,,,,,,24973,Republican,72.77
Alabama,Baldwin__AL,18458,19.39,72883,76.55,3874,4.06,,,,,,,,,,,,,,,95215,Republican,76.55
Alabama,Barbour__AL,4871,46.53,5454,52.1,144,1.37,,,,,,,,,,,,,,,10469,Republican,52.1
Alabama,Bibb__AL,1874,21.25,6738,76.4,207,2.35,,,,,,,,,,,,,,,8819,Republican,76.4
Alabama,Blount__AL,2156,8.43,22859,89.33,573,2.24,,,,,,,,,,,,,,,25588,Republican,89.33
Alabama,Bullock__AL,3530,74.95,1140,24.2,40,0.85,,,,,,,,,,,,,,,4710,Democrat,74.95
Alabama,Butler__AL,3726,42.67,4901,56.13,105,1.2,,,,,,,,,,,,,,,8732,Republican,56.13
Alabama,Calhoun__AL,13242,27.67,32865,68.66,1757,3.67,,,,,,,,,,,,,,,47864,Republican,68.66
Alabama,Chambers__AL,5784,41.61,7843,56.42,273,1.97,,,,,,,,,,,,,,,13900,Republican,56.42
Alabama,Cherokee__AL,1547,14.41,8953,83.42,233,2.17,,,,,,,,,,,,,,,10733,Republican,83.42
Alabama,Chilton__AL,2911,15.85,15081,82.1,377,2.05,,,,,,,,,,,,,,,18369,Republican,82.1
Alabama,Choctaw__AL,3109,42.64,4106,56.31,77,1.05,,,,,,,,,,,,,,,7292,Republican,56.31
Alabama,Clarke__AL,5749,44.12,7140,54.79,142,1.09,,,,,,,,,,,,,,,13031,Republican,54.79
Alabama,Clay__AL,1237,18.67,5245,79.18,142,2.15,,,,,,,,,,,,,,,6624,Republican,79.18
Alabama,Cleburne__AL,684,10.37,5764,87.43,145,2.2,,,,,,,,,,,,,,,6593,Republican,87.43
Alabama,Coffee__AL,4221,20.33,15875,76.44,671,3.23,,,,,,,,,,,,,,,20767,Republican,76.44
Alabama,Colbert__AL,7312,29.35,16746,67.21,857,3.44,,,,,,,,,,,,,,,24915,Republican,67.21
Alabama,Conecuh__AL,3080,46.77,3420,51.94,85,1.29,,,,,,,,,,,,,,,6585,Republican,51.94
Alabama,Coosa__AL,1782,33.93,3381,64.38,89,1.69,,,,,,,,,,,,,,,5252,Republican,64.38
Alabama,Covington__AL,2387,14.97,13267,83.23,286,1.8,,,,,,,,,,,,,,,15940,Republican,83.23
Alabama,Crenshaw__AL,1664,26.55,4513,72.01,90,1.44,,,,,,,,,,,,,,,6267,Republican,72.01
Alabama,Cullman__AL,3798,10.03,32989,87.1,1086,2.87,,,,,,,,,,,,,,,37873,Republican,87.1
Alabama,Dale__AL,4413,23.54,13808,73.65,528,2.81,,,,,,,,,,,,,,,18749,Republican,73.65
Alabama,Dallas__AL,12836,68.31,5789,30.81,167,0.88,,,,,,,,,,,,,,,18792,Democrat,68.31
Alabama,DeKalb__AL,3622,14.02,21405,82.88,799,3.1,,,,,,,,,,,,,,,25826,Republican,82.88
Alabama,Elmore__AL,8443,22.66,27634,74.17,1183,3.17,,,,,,,,,,,,,,,37260,Republican,74.17
Alabama,Escambia__AL,4605,31.02,9935,66.92,305,2.06,,,,,,,,,,,,,,,14845,Republican,66.92
Alabama,Etowah__AL,10442,23.64,32353,73.26,1369,3.1,,,,,,,,,,,,,,,44164,Republican,73.26
Alabama,Fayette__AL,1362,16.51,6712,81.37,175,2.12,,,,,,,,,,,,,,,8249,Republican,81.37
Alabama,Franklin__AL,2197,18.25,9466,78.62,377,3.13,,,,,,,,,,,,,,,12040,Republican,78.62
Alabama,Geneva__AL,1525,12.97,9994,85.0,239,2.03,,,,,,,,,,,,,,,11758,Republican,85.0
Alabama,Greene__AL,4013,82.23,838,17.17,29,0.6,,,,,,,,,,,,,,,4880,Democrat,82.23
