State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,Jo Jorgensen Libertarian_Votes,Jo Jorgensen Libertarian_Pct,Howie Hawkins Green_Votes,Howie Hawkins Green_Pct,Kanye West Independent_Votes,Kanye West Independent_Pct,Don Blankenship Constitution_Votes,Don Blankenship Constitution_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,7503,27.02,19838,71.44,429,1.54,,,,,,,,,27770,Republican,71.44
Alabama,Baldwin__AL,24578,22.41,83544,76.17,1557,1.42,,,,,,,,,109679,Republican,76.17
Alabama,Barbour__AL,4816,45.79,5622,53.45,80,0.76,,,,,,,,,10518,Republican,53.45
Alabama,Bibb__AL,1986,20.7,7525,78.43,84,0.87,,,,,,,,,9595,Republican,78.43
Alabama,Blount__AL,2640,9.57,24711,89.57,237,0.86,,,,,,,,,27588,Republican,89.57
Alabama,Bullock__AL,3446,74.7,1146,24.84,21,0.46,,,,,,,,,4613,Democrat,74.7
Alabama,Butler__AL,3965,41.79,5458,57.53,65,0.68,,,,,,,,,9488,Republican,57.53
Alabama,Calhoun__AL,15216,29.85,35101,68.85,666,1.3,,,,,,,,,50983,Republican,68.85
Alabama,Chambers__AL,6365,41.64,8753,57.27,166,1.09,,,,,,,,,15284,Republican,57.27
Alabama,Cherokee__AL,1624,13.2,10583,86.03,94,0.77,,,,,,,,,12301,Republican,86.03
Alabama,Chilton__AL,3073,15.91,16085,83.3,152,0.79,,,,,,,,,19310,Republican,83.3
Alabama,Choctaw__AL,3127,41.89,4296,57.56,41,0.55,,,,,,,,,7464,Republican,57.56
Alabama,Clarke__AL,5755,43.81,7324,55.76,56,0.43,,,,,,,,,13135,Republican,55.76
Alabama,Clay__AL,1267,18.28,5601,80.82,62,0.9,,,,,,,,,6930,Republican,80.82
Alabama,Cleburne__AL,675,9.34,6484,89.72,68,0.94,,,,,,,,,7227,Republican,89.72
Alabama,Coffee__AL,5076,22.79,16899,75.87,300,1.34,,,,,,,,,22275,Republican,75.87
Alabama,Colbert__AL,8343,29.92,19203,68.86,340,1.22,,,,,,,,,27886,Republican,68.86
Alabama,Conecuh__AL,2966,46.05,3442,53.44,33,0.51,,,,,,,,,6441,Republican,53.44
Alabama,Coosa__AL,1796,32.78,3631,66.27,52,0.95,,,,,,,,,5479,Republican,66.27
Alabama,Covington__AL,2721,15.61,14586,83.68,123,0.71,,,,,,,,,17430,Republican,83.68
Alabama,Crenshaw__AL,1700,25.69,4864,73.51,53,0.8,,,,,,,,,6617,Republican,73.51
Alabama,Cullman__AL,4478,10.7,36880,88.12,493,1.18,,,,,,,,,41851,Republican,88.12
Alabama,Dale__AL,5170,26.19,14303,72.46,265,1.35,,,,,,,,,19738,Republican,72.46
Alabama,Dallas__AL,12230,68.46,5524,30.92,110,0.62,,,,,,,,,17864,Democrat,68.46
Alabama,DeKalb__AL,4281,14.58,24767,84.37,308,1.05,,,,,,,,,29356,Republican,84.37
Alabama,Elmore__AL,10367,25.27,30164,73.52,499,1.21,,,,,,,,,41030,Republican,73.52
Alabama,Escambia__AL,4918,30.91,10869,68.32,123,0.77,,,,,,,,,15910,Republican,68.32
Alabama,Etowah__AL,11567,24.24,35528,74.44,633,1.32,,,,,,,,,47728,Republican,74.44
Alabama,Fayette__AL,1395,15.91,7300,83.28,71,0.81,,,,,,,,,8766,Republican,83.28
Alabama,Franklin__AL,2086,16.58,10376,82.49,116,0.93,,,,,,,,,12578,Republican,82.49
Alabama,Geneva__AL,1595,12.71,10848,86.47,102,0.82,,,,,,,,,12545,Republican,86.47
Alabama,Greene__AL,3884,81.34,875,18.32,16,0.34,,,,,,,,,4775,Democrat,81.34
Alabama,Hale__AL,4663,59.03,3192,40.41,45,0.56,,,,,,,,,7900,Democrat,59.03
Alabama,Henry__AL,2606,28.03,6607,71.06,85,0.91,,,,,,,,,9298,Republican,71.06
Alabama,Houston__AL,12917,27.98,32618,70.64,638,1.38,,,,,,,,,46173,Republican,70.64
Alabama,Jackson__AL,3717,15.73,19670,83.22,249,1.05,,,,,,,,,23636,Republican,83.22
Alabama,Jefferson__AL,181688,55.76,138843,42.61,5317,1.63,,,,,,,,,325848,Democrat,55.76
Alabama,Lamar__AL,978,13.6,6174,85.83,41,0.57,,,,,,,,,7193,Republican,85.83
Alabama,Lauderdale__AL,11915,26.87,31721,71.54,703,1.59,,,,,,,,,44339,Republican,71.54
Alabama,Lawrence__AL,3562,22.22,12322,76.86,147,0.92,,,,,,,,,16031,Republican,76.86
Alabama,Lee__AL,27860,38.99,42221,59.09,1368,1.92,,,,,,,,,71449,Republican,59.09
