State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Various candidates Other parties_Votes,Various candidates Other parties_Pct,All Others_Votes,All Others_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,7439,26.3,20484,72.43,358,1.27,,,28281,Republican,72.43
Alabama,Baldwin__AL,24934,20.4,95798,78.36,1517,1.24,,,122249,Republican,78.36
Alabama,Barbour__AL,4158,42.19,5606,56.88,91,0.92,,,9855,Republican,56.88
Alabama,Bibb__AL,1619,17.49,7572,81.8,66,0.71,,,9257,Republican,81.8
Alabama,Blount__AL,2576,9.15,25354,90.03,233,0.83,,,28163,Republican,90.03
Alabama,Bullock__AL,2983,72.56,1101,26.78,27,0.66,,,4111,Democrat,72.56
Alabama,Butler__AL,3251,38.34,5172,60.99,57,0.67,,,8480,Republican,60.99
Alabama,Calhoun__AL,13194,27.12,34912,71.76,547,1.12,,,48653,Republican,71.76
Alabama,Chambers__AL,5405,37.94,8711,61.15,129,0.91,,,14245,Republican,61.15
Alabama,Cherokee__AL,1553,11.94,11358,87.33,95,0.73,,,13006,Republican,87.33
Alabama,Chilton__AL,2698,13.65,16920,85.61,145,0.73,,,19763,Republican,85.61
Alabama,Choctaw__AL,2515,37.79,4103,61.64,38,0.57,,,6656,Republican,61.64
Alabama,Clarke__AL,4927,41.2,6965,58.25,66,0.55,,,11958,Republican,58.25
Alabama,Clay__AL,993,14.67,5734,84.73,40,0.59,,,6767,Republican,84.73
Alabama,Cleburne__AL,605,7.91,6988,91.33,58,0.76,,,7651,Republican,91.33
Alabama,Coffee__AL,4601,20.61,17495,78.39,223,1,,,22319,Republican,78.39
Alabama,Colbert__AL,7137,26.28,19714,72.58,309,1.14,,,27160,Republican,72.58
Alabama,Conecuh__AL,2580,42.64,3423,56.57,48,0.79,,,6051,Republican,56.57
Alabama,Coosa__AL,1478,28.06,3758,71.34,32,0.61,,,5268,Republican,71.34
Alabama,Covington__AL,2314,13.54,14677,85.86,104,0.61,,,17095,Republican,85.86
Alabama,Crenshaw__AL,1457,22.46,5000,77.09,29,0.45,,,6486,Republican,77.09
Alabama,Cullman__AL,4039,9.36,38704,89.7,403,0.93,,,43146,Republican,89.7
Alabama,Dale__AL,4484,23.43,14476,75.64,179,0.94,,,19139,Republican,75.64
Alabama,Dallas__AL,10236,65.84,5190,33.38,121,0.78,,,15547,Democrat,65.84
Alabama,DeKalb__AL,3758,12.67,25633,86.42,269,0.91,,,29660,Republican,86.42
Alabama,Elmore__AL,9774,23.48,31374,75.37,476,1.14,,,41624,Republican,75.37
Alabama,Escambia__AL,3964,26.5,10884,72.77,109,0.73,,,14957,Republican,72.77
Alabama,Etowah__AL,10027,21.73,35653,77.28,457,0.99,,,46137,Republican,77.28
Alabama,Fayette__AL,1142,13.65,7158,85.53,69,0.82,,,8369,Republican,85.53
Alabama,Franklin__AL,1568,12.96,10417,86.11,112,0.93,,,12097,Republican,86.11
Alabama,Geneva__AL,1391,11.22,10929,88.13,81,0.65,,,12401,Republican,88.13
Alabama,Greene__AL,3133,77.57,885,21.91,21,0.52,,,4039,Democrat,77.57
Alabama,Hale__AL,3868,52.95,3369,46.12,68,0.93,,,7305,Democrat,52.95
Alabama,Henry__AL,2263,24.28,6989,74.99,68,0.73,,,9320,Republican,74.99
Alabama,Houston__AL,11352,25.6,32469,73.21,528,1.19,,,44349,Republican,73.21
Alabama,Jackson__AL,3276,13.91,20073,85.21,207,0.88,,,23556,Republican,85.21
Alabama,Jefferson__AL,162112,54.27,131123,43.9,5469,1.83,,,298704,Democrat,54.27
Alabama,Lamar__AL,806,11.7,6033,87.56,51,0.74,,,6890,Republican,87.56
Alabama,Lauderdale__AL,10326,23.66,32708,74.95,603,1.38,,,43637,Republican,74.95
Alabama,Lawrence__AL,2983,18.5,13024,80.78,115,0.71,,,16122,Republican,80.78
Alabama,Lee__AL,25798,35.28,46020,62.93,1309,1.79,,,73127,Republican,62.93
Alabama,Limestone__AL,14581,27.34,37887,71.04,864,1.62,,,53332,Republican,71.04
Alabama,Lowndes__AL,3867,68.38,1758,31.09,30,0.53,,,5655,Democrat,68.38
Alabama,Macon__AL,6084,77.66,1682,21.47,68,0.87,,,7834,Democrat,77.66
Alabama,Madison__AL,87824,44.44,105430,53.35,4363,2.21,,,197617,Republican,53.35
Alabama,Marengo__AL,4631,47.83,4995,51.59,56,0.58,,,9682,Republican,51.59
Alabama,Marion__AL,1197,8.84,12245,90.42,101,0.75,,,13543,Republican,90.42
Alabama,Marshall__AL,5553,13.75,34434,85.26,401,0.99,,,40388,Republican,85.26
Alabama,Mobile__AL,72055,41.14,100759,57.52,2350,1.34,,,175164,Republican,57.52
Alabama,Monroe__AL,3740,38.1,6007,61.2,68,0.69,,,9815,Republican,61.2
Alabama,Montgomery__AL,57946,64.53,30477,33.94,1375,1.53,,,89798,Democrat,64.53
Alabama,Morgan__AL,12392,23.14,40449,75.54,702,1.31,,,53543,Republican,75.54
Alabama,Perry__AL,3174,71.09,1269,28.42,22,0.49,,,4465,Democrat,71.09
Alabama,Pickens__AL,3388,38.02,5465,61.32,59,0.66,,,8912,Republican,61.32
Alabama,Pike__AL,4899,37.02,8224,62.14,111,0.84,,,13234,Republican,62.14
Alabama,Randolph__AL,1920,17.31,9102,82.07,69,0.62,,,11091,Republican,82.07
Alabama,Russell__AL,10422,50.3,10078,48.64,218,1.05,,,20718,Democrat,50.3
Alabama,Shelby__AL,33087,28.85,79666,69.46,1945,1.7,,,114698,Republican,69.46
Alabama,St__Clair__AL,7640,17.55,35501,81.56,385,0.88,,,43526,Republican,81.56
Alabama,Sumter__AL,3725,70.19,1542,29.06,40,0.75,,,5307,Democrat,70.19
Alabama,Talladega__AL,10898,32.78,22100,66.47,252,0.76,,,33250,Republican,66.47
Alabama,Tallapoosa__AL,4975,24.85,14884,74.33,164,0.82,,,20023,Republican,74.33
Alabama,Tuscaloosa__AL,33399,39.17,50724,59.5,1133,1.33,,,85256,Republican,59.5
Alabama,Walker__AL,4102,13.77,25464,85.49,220,0.74,,,29786,Republican,85.49
Alabama,Washington__AL,1863,22.07,6534,77.41,44,0.52,,,8441,Republican,77.41
Alabama,Wilcox__AL,3449,65.53,1793,34.07,21,0.4,,,5263,Democrat,65.53
Alabama,Winston__AL,884,7.93,10191,91.41,74,0.66,,,11149,Republican,91.41
Alaska,Aleutians_East__AK,125,28.94,288,66.67,0,0,19,4.4,432,Republican,66.67
Alaska,Aleutians_West__AK,474,48.82,469,48.3,0,0,28,2.88,971,Democrat,48.82
Alaska,Anchorage__AK,64781,48.74,62925,47.35,0,0,5193,3.91,132899,Democrat,48.74
Alaska,Bethel__AK,2181,51.09,1622,37.99,0,0,466,10.92,4269,Democrat,51.09
Alaska,Bristol_Bay__AK,139,33.74,254,61.65,0,0,19,4.61,412,Republican,61.65
