State,County__State_Code,Democrat_Votes,Democrat_Pct,Republican_Votes,Republican_Pct,Miscellaneous_Votes,Miscellaneous_Pct,Total_Votes,Winner,Winner_Pct
Alabama,Autauga__AL,4511,40.78,6536,59.08,16,0.14,11063,Republican,59.08
Alabama,Baldwin__AL,8720,30.76,19531,68.89,102,0.36,28353,Republican,68.89
Alabama,Barbour__AL,4660,51.77,4316,47.95,25,0.28,9001,Democrat,51.77
Alabama,Bibb__AL,3102,55.17,2521,44.83,0,0,5623,Democrat,55.17
Alabama,Blount__AL,5693,44.74,6986,54.9,45,0.35,12724,Republican,54.9
Alabama,Bullock__AL,4118,73.05,1508,26.75,11,0.2,5637,Democrat,73.05
Alabama,Butler__AL,4361,52.12,3976,47.51,31,0.37,8368,Democrat,52.12
Alabama,Calhoun__AL,17107,48.13,18194,51.19,240,0.68,35541,Republican,51.19
Alabama,Chambers__AL,6794,57.1,5082,42.71,23,0.19,11899,Democrat,57.1
Alabama,Cherokee__AL,3815,59.26,2615,40.62,8,0.12,6438,Democrat,59.26
Alabama,Chilton__AL,4723,41.15,6721,58.56,33,0.29,11477,Republican,58.56
Alabama,Choctaw__AL,3685,56,2895,44,0,0,6580,Democrat,56
Alabama,Clarke__AL,5446,51.07,5198,48.75,19,0.18,10663,Democrat,51.07
Alabama,Clay__AL,2892,50.32,2839,49.4,16,0.28,5747,Democrat,50.32
Alabama,Cleburne__AL,2071,45.76,2450,54.13,5,0.11,4526,Republican,54.13
Alabama,Coffee__AL,6293,46.97,7086,52.88,20,0.15,13399,Republican,52.88
Alabama,Colbert__AL,12865,64.28,7054,35.25,94,0.47,20013,Democrat,64.28
Alabama,Conecuh__AL,3150,50.96,3013,48.75,18,0.29,6181,Democrat,50.96
Alabama,Coosa__AL,2438,57.92,1758,41.77,13,0.31,4209,Democrat,57.92
Alabama,Covington__AL,6360,46.74,7194,52.87,54,0.4,13608,Republican,52.87
Alabama,Crenshaw__AL,2715,51.66,2531,48.15,10,0.19,5256,Democrat,51.66
Alabama,Cullman__AL,11606,52.19,10564,47.5,70,0.31,22240,Democrat,52.19
Alabama,Dale__AL,5048,40.15,7511,59.74,14,0.11,12573,Republican,59.74
Alabama,Dallas__AL,10182,56.11,7942,43.76,23,0.13,18147,Democrat,56.11
Alabama,DeKalb__AL,8828,47.23,9831,52.6,31,0.17,18690,Republican,52.6
Alabama,Elmore__AL,6166,40.59,8999,59.24,25,0.16,15190,Republican,59.24
Alabama,Escambia__AL,5239,43.47,6736,55.89,78,0.65,12053,Republican,55.89
Alabama,Etowah__AL,20937,55.38,16769,44.36,100,0.26,37806,Democrat,55.38
Alabama,Fayette__AL,3393,49.98,3385,49.86,11,0.16,6789,Democrat,49.98
Alabama,Franklin__AL,6166,57.29,4565,42.41,32,0.3,10763,Democrat,57.29
